Date,Close,High,Low,Open,Volume,Price Range,Short MA,Long MA,Middle_Band,Upper_Band,Lower_Band
2015-04-23,236.46200561523438,236.47500610351562,233.19900512695312,234.05299377441406,17036000,"[178, 10178)",254.40416076660156,295.81386543273925,235.798250579834,260.909369601197,210.687131558471
2015-04-24,231.26800537109375,236.30499267578125,229.93299865722656,235.97000122070312,21448700,"[178, 10178)",253.50596069335938,295.3198104095459,234.6768005371094,258.3864658188483,210.96713525537044
2015-04-25,226.38999938964844,232.56100463867188,226.33700561523438,231.23500061035156,13957200,"[178, 10178)",252.57930084228516,294.77082534790037,232.96640090942384,253.52930902613696,212.40349279271072
2015-04-26,219.42999267578125,226.94400024414062,214.87399291992188,226.41000366210938,28943700,"[178, 10178)",251.44268096923827,294.10327529907227,231.16330032348634,249.62672507603693,212.69987557093575
2015-04-27,229.28599548339844,233.30499267578125,218.0229949951172,219.4290008544922,38574000,"[178, 10178)",250.54132080078125,293.42457527160644,229.96860046386718,245.25195316027134,214.685247767463
2015-04-28,225.85499572753906,229.4949951171875,223.06900024414062,228.968994140625,21469200,"[178, 10178)",249.2662808227539,292.74604019165037,229.01025009155273,242.63265603763196,215.3878441454735
2015-04-29,225.80799865722656,227.0399932861328,223.42999267578125,225.59100341796875,18936500,"[178, 10178)",247.94724060058593,292.06358512878415,228.11685028076172,239.9103749329036,216.32332562861984
2015-04-30,236.14500427246094,239.56300354003906,224.9929962158203,225.6929931640625,33818600,"[178, 10178)",246.74256072998048,291.35156509399417,228.12050018310546,239.92443170161988,216.31656866459105
2015-05-01,232.07899475097656,238.96600341796875,232.07899475097656,235.93899536132812,18815300,"[178, 10178)",245.497060546875,290.5598900604248,227.89684982299804,239.1864338824653,216.60726576353076
2015-05-02,234.92999267578125,235.7270050048828,232.34100341796875,232.34100341796875,12535500,"[178, 10178)",244.48892028808595,289.73019004821776,227.83569946289063,238.9488605693609,216.72253835642036
2015-05-03,240.35800170898438,243.24000549316406,234.08299255371094,234.8800048828125,18494100,"[178, 10178)",243.65838012695312,288.95811500549314,228.62424926757814,240.9398703911713,216.30862814398498
2015-05-04,239.01800537109375,242.63800048828125,237.80999755859375,240.3560028076172,21223400,"[178, 10178)",242.71088012695313,288.24042503356935,229.61719970703126,241.9218768957943,217.31252251826822
2015-05-05,236.12100219726562,239.20399475097656,232.0540008544922,238.8520050048828,23929100,"[178, 10178)",241.6214404296875,287.5022400665283,230.231600189209,242.54733055674572,217.91586982167226
2015-05-06,229.78199768066406,236.45399475097656,229.2310028076172,236.24899291992188,29587200,"[178, 10178)",240.50698028564454,286.6939401245117,230.29205017089845,242.5853505812527,217.9987497605442
2015-05-07,237.33399963378906,239.10499572753906,228.572998046875,229.66200256347656,29064400,"[178, 10178)",240.12768005371095,285.9328801727295,231.0146499633789,243.17223041634387,218.85706951041394
2015-05-08,243.86300659179688,246.27499389648438,236.2740020751953,237.20399475097656,27445500,"[178, 10178)",239.7863800048828,285.23797019958494,232.04000015258788,244.9157681179792,219.16423218719655
2015-05-09,241.83200073242188,247.8040008544922,239.63900756835938,243.7689971923828,19790500,"[178, 10178)",239.3880401611328,284.5147551727295,233.0015998840332,245.78116383472766,220.22203593333873
2015-05-10,240.29600524902344,244.0679931640625,238.8489990234375,241.72900390625,15019100,"[178, 10178)",238.9934603881836,283.80044525146485,233.78509979248048,246.32167628173883,221.24852330322213
2015-05-11,242.1580047607422,244.27000427246094,239.37600708007812,240.2989959716797,20892300,"[178, 10178)",238.47742065429688,283.21915031433105,234.12955017089843,247.20478169898945,221.0543186428074
2015-05-12,241.11199951171875,242.88099670410156,240.0989990234375,242.14500427246094,19282600,"[178, 10178)",237.96486083984374,282.6329853057861,234.47635040283203,247.91952524210905,221.033175563555
2015-05-13,236.3769989013672,243.70399475097656,235.0449981689453,241.3979949951172,27180100,"[178, 10178)",237.78050079345704,282.0785153198242,234.47210006713868,247.91268501793041,221.03151511634695
2015-05-14,236.9290008544922,237.7989959716797,234.0570068359375,236.21400451660156,24413700,"[178, 10178)",237.59514068603517,281.4896402740479,234.7551498413086,248.1499806062905,221.36031907632668
2015-05-15,237.60499572753906,238.7530059814453,236.7949981689453,236.9550018310547,16329400,"[178, 10178)",237.37660064697266,280.9127201843262,235.31589965820314,248.16407508189505,222.46772423451122
2015-05-16,236.1529998779297,237.69700622558594,235.2949981689453,237.6439971923828,11089700,"[178, 10178)",237.1590805053711,280.3053951263428,236.15205001831055,246.59956196880674,225.70453806781435
2015-05-17,236.802001953125,238.02499389648438,236.00999450683594,236.00999450683594,11134300,"[178, 10178)",236.8391604614258,279.81145011901856,236.52785034179686,246.4636454734715,226.59205521012223
2015-05-18,233.1280059814453,237.2100067138672,232.4600067138672,236.88699340820312,16780300,"[178, 10178)",236.64746063232423,279.25056518554686,236.8915008544922,245.64453822708165,228.13846348190273
2015-05-19,231.94700622558594,234.1510009765625,231.81700134277344,233.03700256347656,14241900,"[178, 10178)",236.33588073730468,278.71869514465334,237.19845123291014,244.64855241061272,229.74835005520757
2015-05-20,234.01800537109375,234.68299865722656,231.8419952392578,231.88999938964844,15499400,"[178, 10178)",236.1317608642578,278.2600402069092,237.09210128784179,244.66522989205356,229.51897268363
2015-05-21,235.343994140625,236.24200439453125,233.8350067138672,234.01600646972656,15108900,"[178, 10178)",235.89320068359376,277.80730018615725,237.2553512573242,244.50742820792965,230.00327430671877
2015-05-22,240.34800720214844,240.968994140625,235.05999755859375,235.3209991455078,27003000,"[178, 10178)",235.64006072998046,277.37127029418946,237.52625198364257,244.81726201623593,230.2352419510492
2015-05-23,238.8719940185547,241.02499389648438,238.6909942626953,240.28599548339844,14605000,"[178, 10178)",235.33106048583986,276.91317024230955,237.4519515991211,244.65116550105873,230.25273769718345
2015-05-24,240.9530029296875,241.97799682617188,238.81100463867188,238.9759979248047,11508000,"[178, 10178)",235.07618041992188,276.4205052947998,237.54870147705077,244.88719205830162,230.21021089579992
2015-05-25,237.11000061035156,241.02099609375,236.63699340820312,240.927001953125,14423900,"[178, 10178)",234.60642059326173,275.85960525512695,237.59815139770507,244.909412882589,230.28688991282112
2015-05-26,237.11599731445312,238.24200439453125,235.69200134277344,237.10400390625,16425000,"[178, 10178)",234.23890045166016,275.3331101989746,237.96485137939453,244.2953942591966,231.63430849959246
2015-05-27,237.2830047607422,238.63600158691406,236.69500732421875,237.06500244140625,18837000,"[178, 10178)",233.92096069335938,274.7920851898193,237.9623016357422,244.2939553374039,231.63064793408049
2015-05-28,237.4080047607422,237.82400512695312,236.65199279785156,237.2570037841797,13829600,"[178, 10178)",233.76868072509765,274.1628051757813,237.63955154418946,243.33039935735073,231.9487037310282
2015-05-29,237.0959930419922,237.52200317382812,235.7310028076172,237.3769989013672,14805000,"[178, 10178)",233.63708068847657,273.51366508483886,237.40275115966796,242.7423676284867,232.0631346908492
2015-05-30,233.34500122070312,237.09300231933594,232.04600524902344,237.0919952392578,14098600,"[178, 10178)",233.58254058837892,272.8419150543213,237.05520095825196,242.50561352889176,231.60478838761216
2015-05-31,230.19000244140625,233.2519989013672,229.54200744628906,233.13499450683594,14730800,"[178, 10178)",233.45530059814453,271.87506004333494,236.45680084228516,242.16992380993568,230.74367787463464
